RG_SCORE,MODEL
16.423,rg_scorer_g_5_S_0056_0001_0001.pdb
16.416,rg_scorer_g_5_S_0057_0001_0001.pdb
16.465999999999998,rg_scorer_g_5_S_0058_0001_0001.pdb
16.433,rg_scorer_g_5_S_0059_0001_0001.pdb
16.423,rg_scorer_g_5_S_0060_0001_0001.pdb
16.319000000000003,rg_scorer_g_5_S_0061_0001_0001.pdb
16.512999999999998,rg_scorer_g_5_S_0062_0001_0001.pdb
16.472,rg_scorer_g_5_S_0063_0001_0001.pdb
16.462,rg_scorer_g_5_S_0064_0001_0001.pdb
16.409000000000002,rg_scorer_g_5_S_0065_0001_0001.pdb
16.387,rg_scorer_g_5_S_0066_0001_0001.pdb
16.491,rg_scorer_g_5_S_0067_0001_0001.pdb
16.56,rg_scorer_g_5_S_0068_0001_0001.pdb
16.442999999999998,rg_scorer_g_5_S_0069_0001_0001.pdb
16.467,rg_scorer_g_5_S_0070_0001_0001.pdb
16.471,rg_scorer_g_5_S_0071_0001_0001.pdb
16.457,rg_scorer_g_5_S_0072_0001_0001.pdb
16.352999999999998,rg_scorer_g_5_S_0073_0001_0001.pdb
16.412,rg_scorer_g_5_S_0074_0001_0001.pdb
16.514,rg_scorer_g_5_S_0075_0001_0001.pdb
16.47,rg_scorer_g_5_S_0076_0001_0001.pdb
16.291,rg_scorer_g_5_S_0077_0001_0001.pdb
16.46,rg_scorer_g_5_S_0078_0001_0001.pdb
16.527,rg_scorer_g_5_S_0079_0001_0001.pdb
16.425,rg_scorer_g_5_S_0080_0001_0001.pdb
16.5,rg_scorer_g_5_S_0081_0001_0001.pdb
16.49,rg_scorer_g_5_S_0082_0001_0001.pdb
16.393,rg_scorer_g_5_S_0083_0001_0001.pdb
16.45,rg_scorer_g_5_S_0084_0001_0001.pdb
16.445,rg_scorer_g_5_S_0085_0001_0001.pdb
16.418,rg_scorer_g_5_S_0086_0001_0001.pdb
16.57,rg_scorer_g_5_S_0087_0001_0001.pdb
16.496,rg_scorer_g_5_S_0088_0001_0001.pdb
16.467,rg_scorer_g_5_S_0089_0001_0001.pdb
16.445,rg_scorer_g_5_S_0090_0001_0001.pdb
16.404,rg_scorer_g_5_S_0091_0001_0001.pdb
16.358,rg_scorer_g_5_S_0092_0001_0001.pdb
16.417,rg_scorer_g_5_S_0093_0001_0001.pdb
16.334,rg_scorer_g_5_S_0094_0001_0001.pdb
16.449,rg_scorer_g_5_S_0095_0001_0001.pdb
16.484,rg_scorer_g_5_S_0096_0001_0001.pdb
16.408,rg_scorer_g_5_S_0097_0001_0001.pdb
16.404,rg_scorer_g_5_S_0098_0001_0001.pdb
16.442,rg_scorer_g_5_S_0099_0001_0001.pdb
16.522000000000002,rg_scorer_g_5_S_0100_0001_0001.pdb
16.406,rg_scorer_g_6_S_0001_0001_0001.pdb
16.476,rg_scorer_g_6_S_0002_0001_0001.pdb
16.442,rg_scorer_g_6_S_0003_0001_0001.pdb
16.47,rg_scorer_g_6_S_0004_0001_0001.pdb
16.407,rg_scorer_g_6_S_0005_0001_0001.pdb
16.498,rg_scorer_g_6_S_0006_0001_0001.pdb
16.361,rg_scorer_g_6_S_0007_0001_0001.pdb
16.358,rg_scorer_g_6_S_0008_0001_0001.pdb
16.45,rg_scorer_g_6_S_0009_0001_0001.pdb
16.28,rg_scorer_g_6_S_0010_0001_0001.pdb
16.441,rg_scorer_g_6_S_0011_0001_0001.pdb
16.505,rg_scorer_g_6_S_0012_0001_0001.pdb
16.355,rg_scorer_g_6_S_0013_0001_0001.pdb
16.582,rg_scorer_g_6_S_0014_0001_0001.pdb
16.505,rg_scorer_g_6_S_0015_0001_0001.pdb
16.419,rg_scorer_g_6_S_0016_0001_0001.pdb
16.293,rg_scorer_g_6_S_0017_0001_0001.pdb
16.457,rg_scorer_g_6_S_0018_0001_0001.pdb
16.432000000000002,rg_scorer_g_6_S_0019_0001_0001.pdb
16.491,rg_scorer_g_6_S_0020_0001_0001.pdb
16.414,rg_scorer_g_6_S_0021_0001_0001.pdb
16.391,rg_scorer_g_6_S_0022_0001_0001.pdb
16.303,rg_scorer_g_6_S_0023_0001_0001.pdb
16.442,rg_scorer_g_6_S_0024_0001_0001.pdb
16.453,rg_scorer_g_6_S_0025_0001_0001.pdb
16.455,rg_scorer_g_6_S_0026_0001_0001.pdb
16.434,rg_scorer_g_6_S_0027_0001_0001.pdb
16.467,rg_scorer_g_6_S_0028_0001_0001.pdb
16.491,rg_scorer_g_6_S_0029_0001_0001.pdb
16.488,rg_scorer_g_6_S_0030_0001_0001.pdb
16.543,rg_scorer_g_6_S_0031_0001_0001.pdb
16.35,rg_scorer_g_6_S_0032_0001_0001.pdb
16.399,rg_scorer_g_6_S_0033_0001_0001.pdb
16.392,rg_scorer_g_6_S_0034_0001_0001.pdb
16.407,rg_scorer_g_6_S_0035_0001_0001.pdb
16.426,rg_scorer_g_6_S_0036_0001_0001.pdb
16.464000000000002,rg_scorer_g_6_S_0037_0001_0001.pdb
16.472,rg_scorer_g_6_S_0038_0001_0001.pdb
16.505,rg_scorer_g_6_S_0039_0001_0001.pdb
16.473,rg_scorer_g_6_S_0040_0001_0001.pdb
16.435,rg_scorer_g_6_S_0041_0001_0001.pdb
16.407,rg_scorer_g_6_S_0042_0001_0001.pdb
16.484,rg_scorer_g_6_S_0043_0001_0001.pdb
16.382,rg_scorer_g_6_S_0044_0001_0001.pdb
16.393,rg_scorer_g_6_S_0045_0001_0001.pdb
16.426,rg_scorer_g_6_S_0046_0001_0001.pdb
16.44,rg_scorer_g_6_S_0047_0001_0001.pdb
16.59,rg_scorer_g_6_S_0048_0001_0001.pdb
16.405,rg_scorer_g_6_S_0049_0001_0001.pdb
16.398,rg_scorer_g_6_S_0050_0001_0001.pdb
16.482,rg_scorer_g_6_S_0051_0001_0001.pdb
16.455,rg_scorer_g_6_S_0052_0001_0001.pdb
16.425,rg_scorer_g_6_S_0053_0001_0001.pdb
16.427,rg_scorer_g_6_S_0054_0001_0001.pdb
16.436,rg_scorer_g_6_S_0055_0001_0001.pdb
16.317,rg_scorer_g_6_S_0056_0001_0001.pdb
16.418,rg_scorer_g_6_S_0057_0001_0001.pdb
16.467,rg_scorer_g_6_S_0058_0001_0001.pdb
16.487000000000002,rg_scorer_g_6_S_0059_0001_0001.pdb
16.406,rg_scorer_g_6_S_0060_0001_0001.pdb
16.415,rg_scorer_g_6_S_0061_0001_0001.pdb
16.385,rg_scorer_g_6_S_0062_0001_0001.pdb
16.410999999999998,rg_scorer_g_6_S_0063_0001_0001.pdb
16.416,rg_scorer_g_6_S_0064_0001_0001.pdb
16.43,rg_scorer_g_6_S_0065_0001_0001.pdb
16.26,rg_scorer_g_6_S_0066_0001_0001.pdb
16.426,rg_scorer_g_6_S_0067_0001_0001.pdb
16.488,rg_scorer_g_6_S_0068_0001_0001.pdb
16.37,rg_scorer_g_6_S_0069_0001_0001.pdb
16.367,rg_scorer_g_6_S_0070_0001_0001.pdb
16.449,rg_scorer_g_6_S_0071_0001_0001.pdb
16.542,rg_scorer_g_6_S_0072_0001_0001.pdb
16.404,rg_scorer_g_6_S_0073_0001_0001.pdb
16.444000000000003,rg_scorer_g_6_S_0074_0001_0001.pdb
16.405,rg_scorer_g_6_S_0075_0001_0001.pdb
16.334,rg_scorer_g_6_S_0076_0001_0001.pdb
16.367,rg_scorer_g_6_S_0077_0001_0001.pdb
16.381,rg_scorer_g_6_S_0078_0001_0001.pdb
16.348,rg_scorer_g_6_S_0079_0001_0001.pdb
16.507,rg_scorer_g_6_S_0080_0001_0001.pdb
16.403,rg_scorer_g_6_S_0081_0001_0001.pdb
16.422,rg_scorer_g_6_S_0082_0001_0001.pdb
16.426,rg_scorer_g_6_S_0083_0001_0001.pdb
16.386,rg_scorer_g_6_S_0084_0001_0001.pdb
16.410999999999998,rg_scorer_g_6_S_0085_0001_0001.pdb
16.489,rg_scorer_g_6_S_0086_0001_0001.pdb
16.45,rg_scorer_g_6_S_0087_0001_0001.pdb
16.505,rg_scorer_g_6_S_0088_0001_0001.pdb
16.511,rg_scorer_g_6_S_0089_0001_0001.pdb
16.57,rg_scorer_g_6_S_0090_0001_0001.pdb
16.395,rg_scorer_g_6_S_0091_0001_0001.pdb
16.52,rg_scorer_g_6_S_0092_0001_0001.pdb
16.449,rg_scorer_g_6_S_0093_0001_0001.pdb
16.448,rg_scorer_g_6_S_0094_0001_0001.pdb
16.368,rg_scorer_g_6_S_0095_0001_0001.pdb
16.393,rg_scorer_g_6_S_0096_0001_0001.pdb
16.604,rg_scorer_g_6_S_0097_0001_0001.pdb
16.442999999999998,rg_scorer_g_6_S_0098_0001_0001.pdb
16.375999999999998,rg_scorer_g_6_S_0099_0001_0001.pdb
16.485,rg_scorer_g_6_S_0100_0001_0001.pdb
16.379,rg_scorer_g_7_S_0001_0001_0001.pdb
16.44,rg_scorer_g_7_S_0002_0001_0001.pdb
16.482,rg_scorer_g_7_S_0003_0001_0001.pdb
16.527,rg_scorer_g_7_S_0004_0001_0001.pdb
16.346,rg_scorer_g_7_S_0005_0001_0001.pdb
16.479,rg_scorer_g_7_S_0006_0001_0001.pdb
16.486,rg_scorer_g_7_S_0007_0001_0001.pdb
16.512,rg_scorer_g_7_S_0008_0001_0001.pdb
16.395,rg_scorer_g_7_S_0009_0001_0001.pdb
16.365,rg_scorer_g_7_S_0010_0001_0001.pdb
16.533,rg_scorer_g_7_S_0011_0001_0001.pdb
16.492,rg_scorer_g_7_S_0012_0001_0001.pdb
16.483,rg_scorer_g_7_S_0013_0001_0001.pdb
16.44,rg_scorer_g_7_S_0014_0001_0001.pdb
16.458,rg_scorer_g_7_S_0015_0001_0001.pdb
16.487000000000002,rg_scorer_g_7_S_0016_0001_0001.pdb
16.419,rg_scorer_g_7_S_0017_0001_0001.pdb
16.445,rg_scorer_g_7_S_0018_0001_0001.pdb
16.427,rg_scorer_g_7_S_0019_0001_0001.pdb
16.463,rg_scorer_g_7_S_0020_0001_0001.pdb
16.39,rg_scorer_g_7_S_0021_0001_0001.pdb
16.469,rg_scorer_g_7_S_0022_0001_0001.pdb
16.343,rg_scorer_g_7_S_0023_0001_0001.pdb
16.477999999999998,rg_scorer_g_7_S_0024_0001_0001.pdb
16.311,rg_scorer_g_7_S_0025_0001_0001.pdb
16.506,rg_scorer_g_7_S_0026_0001_0001.pdb
16.402,rg_scorer_g_7_S_0027_0001_0001.pdb
16.44,rg_scorer_g_7_S_0028_0001_0001.pdb
16.421,rg_scorer_g_7_S_0029_0001_0001.pdb
16.45,rg_scorer_g_7_S_0030_0001_0001.pdb
16.374000000000002,rg_scorer_g_7_S_0031_0001_0001.pdb
16.423,rg_scorer_g_7_S_0032_0001_0001.pdb
16.407,rg_scorer_g_7_S_0033_0001_0001.pdb
16.352999999999998,rg_scorer_g_7_S_0034_0001_0001.pdb
16.456,rg_scorer_g_7_S_0035_0001_0001.pdb
16.500999999999998,rg_scorer_g_7_S_0036_0001_0001.pdb
16.387999999999998,rg_scorer_g_7_S_0037_0001_0001.pdb
16.453,rg_scorer_g_7_S_0038_0001_0001.pdb
16.462,rg_scorer_g_7_S_0039_0001_0001.pdb
16.562,rg_scorer_g_7_S_0040_0001_0001.pdb
16.311,rg_scorer_g_7_S_0041_0001_0001.pdb
16.33,rg_scorer_g_7_S_0042_0001_0001.pdb
16.495,rg_scorer_g_7_S_0043_0001_0001.pdb
16.342,rg_scorer_g_7_S_0044_0001_0001.pdb
16.459,rg_scorer_g_7_S_0045_0001_0001.pdb
16.480999999999998,rg_scorer_g_7_S_0046_0001_0001.pdb
16.467,rg_scorer_g_7_S_0047_0001_0001.pdb
16.479,rg_scorer_g_7_S_0048_0001_0001.pdb
16.368,rg_scorer_g_7_S_0049_0001_0001.pdb
16.355999999999998,rg_scorer_g_7_S_0050_0001_0001.pdb
16.417,rg_scorer_g_7_S_0051_0001_0001.pdb
16.285,rg_scorer_g_7_S_0052_0001_0001.pdb
16.476,rg_scorer_g_7_S_0053_0001_0001.pdb
16.448,rg_scorer_g_7_S_0054_0001_0001.pdb
16.410999999999998,rg_scorer_g_7_S_0055_0001_0001.pdb
16.436,rg_scorer_g_7_S_0056_0001_0001.pdb
16.493,rg_scorer_g_7_S_0057_0001_0001.pdb
16.378,rg_scorer_g_7_S_0058_0001_0001.pdb
16.459,rg_scorer_g_7_S_0059_0001_0001.pdb
16.548,rg_scorer_g_7_S_0060_0001_0001.pdb
16.546,rg_scorer_g_7_S_0061_0001_0001.pdb
16.385,rg_scorer_g_7_S_0062_0001_0001.pdb
16.261,rg_scorer_g_7_S_0063_0001_0001.pdb
16.452,rg_scorer_g_7_S_0064_0001_0001.pdb
16.342,rg_scorer_g_7_S_0065_0001_0001.pdb
16.467,rg_scorer_g_7_S_0066_0001_0001.pdb
16.428,rg_scorer_g_7_S_0067_0001_0001.pdb
16.426,rg_scorer_g_7_S_0068_0001_0001.pdb
16.368,rg_scorer_g_7_S_0069_0001_0001.pdb
16.499000000000002,rg_scorer_g_7_S_0070_0001_0001.pdb
16.572,rg_scorer_g_7_S_0071_0001_0001.pdb
16.430999999999997,rg_scorer_g_7_S_0072_0001_0001.pdb
16.451,rg_scorer_g_7_S_0073_0001_0001.pdb
16.292,rg_scorer_g_7_S_0074_0001_0001.pdb
16.426,rg_scorer_g_7_S_0075_0001_0001.pdb
16.455,rg_scorer_g_7_S_0076_0001_0001.pdb
16.439,rg_scorer_g_7_S_0077_0001_0001.pdb
16.414,rg_scorer_g_7_S_0078_0001_0001.pdb
16.429000000000002,rg_scorer_g_7_S_0079_0001_0001.pdb
16.393,rg_scorer_g_7_S_0080_0001_0001.pdb
16.477,rg_scorer_g_7_S_0081_0001_0001.pdb
16.447,rg_scorer_g_7_S_0082_0001_0001.pdb
16.592,rg_scorer_g_7_S_0083_0001_0001.pdb
16.358,rg_scorer_g_7_S_0084_0001_0001.pdb
16.409000000000002,rg_scorer_g_7_S_0085_0001_0001.pdb
16.500999999999998,rg_scorer_g_7_S_0086_0001_0001.pdb
16.545,rg_scorer_g_7_S_0087_0001_0001.pdb
16.414,rg_scorer_g_7_S_0088_0001_0001.pdb
16.413,rg_scorer_g_7_S_0089_0001_0001.pdb
16.423,rg_scorer_g_7_S_0090_0001_0001.pdb
16.361,rg_scorer_g_7_S_0091_0001_0001.pdb
16.374000000000002,rg_scorer_g_7_S_0092_0001_0001.pdb
16.323,rg_scorer_g_7_S_0093_0001_0001.pdb
16.426,rg_scorer_g_7_S_0094_0001_0001.pdb
16.293,rg_scorer_g_7_S_0095_0001_0001.pdb
16.433,rg_scorer_g_7_S_0096_0001_0001.pdb
16.496,rg_scorer_g_7_S_0097_0001_0001.pdb
16.5,rg_scorer_g_7_S_0098_0001_0001.pdb
16.500999999999998,rg_scorer_g_7_S_0099_0001_0001.pdb
16.392,rg_scorer_g_7_S_0100_0001_0001.pdb
16.365,rg_scorer_g_8_S_0001_0001_0001.pdb
16.439,rg_scorer_g_8_S_0002_0001_0001.pdb
16.416,rg_scorer_g_8_S_0003_0001_0001.pdb
16.527,rg_scorer_g_8_S_0004_0001_0001.pdb
16.449,rg_scorer_g_8_S_0005_0001_0001.pdb
16.422,rg_scorer_g_8_S_0006_0001_0001.pdb
16.42,rg_scorer_g_8_S_0007_0001_0001.pdb
16.468,rg_scorer_g_8_S_0008_0001_0001.pdb
16.439,rg_scorer_g_8_S_0009_0001_0001.pdb
16.445,rg_scorer_g_8_S_0010_0001_0001.pdb
16.346,rg_scorer_g_8_S_0011_0001_0001.pdb
16.426,rg_scorer_g_8_S_0012_0001_0001.pdb
16.386,rg_scorer_g_8_S_0013_0001_0001.pdb
16.492,rg_scorer_g_8_S_0014_0001_0001.pdb
16.38,rg_scorer_g_8_S_0015_0001_0001.pdb
16.349,rg_scorer_g_8_S_0016_0001_0001.pdb
16.261,rg_scorer_g_8_S_0017_0001_0001.pdb
16.48,rg_scorer_g_8_S_0018_0001_0001.pdb
16.389,rg_scorer_g_8_S_0019_0001_0001.pdb
16.485,rg_scorer_g_8_S_0020_0001_0001.pdb
16.555999999999997,rg_scorer_g_8_S_0021_0001_0001.pdb
16.555,rg_scorer_g_8_S_0022_0001_0001.pdb
16.505,rg_scorer_g_8_S_0023_0001_0001.pdb
16.371,rg_scorer_g_8_S_0024_0001_0001.pdb
16.434,rg_scorer_g_8_S_0025_0001_0001.pdb
16.476,rg_scorer_g_8_S_0026_0001_0001.pdb
16.499000000000002,rg_scorer_g_8_S_0027_0001_0001.pdb
16.427,rg_scorer_g_8_S_0028_0001_0001.pdb
16.442999999999998,rg_scorer_g_8_S_0029_0001_0001.pdb
16.391,rg_scorer_g_8_S_0030_0001_0001.pdb
16.444000000000003,rg_scorer_g_8_S_0031_0001_0001.pdb
16.325,rg_scorer_g_8_S_0032_0001_0001.pdb
16.500999999999998,rg_scorer_g_8_S_0033_0001_0001.pdb
16.371,rg_scorer_g_8_S_0034_0001_0001.pdb
16.387999999999998,rg_scorer_g_8_S_0035_0001_0001.pdb
16.38,rg_scorer_g_8_S_0036_0001_0001.pdb
16.42,rg_scorer_g_8_S_0037_0001_0001.pdb
16.424,rg_scorer_g_8_S_0038_0001_0001.pdb
16.377,rg_scorer_g_8_S_0039_0001_0001.pdb
16.281,rg_scorer_g_8_S_0040_0001_0001.pdb
16.426,rg_scorer_g_8_S_0041_0001_0001.pdb
16.514,rg_scorer_g_8_S_0042_0001_0001.pdb
16.406,rg_scorer_g_8_S_0043_0001_0001.pdb
16.384,rg_scorer_g_8_S_0044_0001_0001.pdb
16.444000000000003,rg_scorer_g_8_S_0045_0001_0001.pdb
16.414,rg_scorer_g_8_S_0046_0001_0001.pdb
16.516,rg_scorer_g_8_S_0047_0001_0001.pdb
16.396,rg_scorer_g_8_S_0048_0001_0001.pdb
16.594,rg_scorer_g_8_S_0049_0001_0001.pdb
16.447,rg_scorer_g_8_S_0050_0001_0001.pdb
16.419,rg_scorer_g_8_S_0051_0001_0001.pdb
16.44,rg_scorer_g_8_S_0052_0001_0001.pdb
16.325,rg_scorer_g_8_S_0053_0001_0001.pdb
16.392,rg_scorer_g_8_S_0054_0001_0001.pdb
16.415,rg_scorer_g_8_S_0055_0001_0001.pdb
16.437,rg_scorer_g_8_S_0056_0001_0001.pdb
16.4,rg_scorer_g_8_S_0057_0001_0001.pdb
16.419,rg_scorer_g_8_S_0058_0001_0001.pdb
16.442,rg_scorer_g_8_S_0059_0001_0001.pdb
16.397000000000002,rg_scorer_g_8_S_0060_0001_0001.pdb
16.377,rg_scorer_g_8_S_0061_0001_0001.pdb
16.471,rg_scorer_g_8_S_0062_0001_0001.pdb
16.433,rg_scorer_g_8_S_0063_0001_0001.pdb
16.452,rg_scorer_g_8_S_0064_0001_0001.pdb
16.256,rg_scorer_g_8_S_0065_0001_0001.pdb
16.405,rg_scorer_g_8_S_0066_0001_0001.pdb
16.467,rg_scorer_g_8_S_0067_0001_0001.pdb
16.441,rg_scorer_g_8_S_0068_0001_0001.pdb
16.545,rg_scorer_g_8_S_0069_0001_0001.pdb
16.35,rg_scorer_g_8_S_0070_0001_0001.pdb
16.287,rg_scorer_g_8_S_0071_0001_0001.pdb
16.469,rg_scorer_g_8_S_0072_0001_0001.pdb
16.395,rg_scorer_g_8_S_0073_0001_0001.pdb
16.382,rg_scorer_g_8_S_0074_0001_0001.pdb
16.444000000000003,rg_scorer_g_8_S_0075_0001_0001.pdb
16.469,rg_scorer_g_8_S_0076_0001_0001.pdb
16.4,rg_scorer_g_8_S_0077_0001_0001.pdb
16.494,rg_scorer_g_8_S_0078_0001_0001.pdb
16.415,rg_scorer_g_8_S_0079_0001_0001.pdb
16.312,rg_scorer_g_8_S_0080_0001_0001.pdb
16.407,rg_scorer_g_8_S_0081_0001_0001.pdb
16.339000000000002,rg_scorer_g_8_S_0082_0001_0001.pdb
16.484,rg_scorer_g_8_S_0083_0001_0001.pdb
16.486,rg_scorer_g_8_S_0084_0001_0001.pdb
16.528,rg_scorer_g_8_S_0085_0001_0001.pdb
16.452,rg_scorer_g_8_S_0086_0001_0001.pdb
16.505,rg_scorer_g_8_S_0087_0001_0001.pdb
16.474,rg_scorer_g_8_S_0088_0001_0001.pdb
16.479,rg_scorer_g_8_S_0089_0001_0001.pdb
16.369,rg_scorer_g_8_S_0090_0001_0001.pdb
16.372,rg_scorer_g_8_S_0091_0001_0001.pdb
16.401,rg_scorer_g_8_S_0092_0001_0001.pdb
16.508,rg_scorer_g_8_S_0093_0001_0001.pdb
16.423,rg_scorer_g_8_S_0094_0001_0001.pdb
16.36,rg_scorer_g_8_S_0095_0001_0001.pdb
16.412,rg_scorer_g_8_S_0096_0001_0001.pdb
16.486,rg_scorer_g_8_S_0097_0001_0001.pdb
16.352,rg_scorer_g_8_S_0098_0001_0001.pdb
16.422,rg_scorer_g_8_S_0099_0001_0001.pdb
16.426,rg_scorer_g_8_S_0100_0001_0001.pdb
16.372,rg_scorer_g_9_S_0001_0001_0001.pdb
16.468,rg_scorer_g_9_S_0002_0001_0001.pdb
16.498,rg_scorer_g_9_S_0003_0001_0001.pdb
16.487000000000002,rg_scorer_g_9_S_0004_0001_0001.pdb
16.38,rg_scorer_g_9_S_0005_0001_0001.pdb
16.427,rg_scorer_g_9_S_0006_0001_0001.pdb
16.404,rg_scorer_g_9_S_0007_0001_0001.pdb
16.472,rg_scorer_g_9_S_0008_0001_0001.pdb
16.428,rg_scorer_g_9_S_0009_0001_0001.pdb
16.551,rg_scorer_g_9_S_0010_0001_0001.pdb
16.422,rg_scorer_g_9_S_0011_0001_0001.pdb
16.436,rg_scorer_g_9_S_0012_0001_0001.pdb
16.506,rg_scorer_g_9_S_0013_0001_0001.pdb
16.417,rg_scorer_g_9_S_0014_0001_0001.pdb
16.352999999999998,rg_scorer_g_9_S_0015_0001_0001.pdb
16.363,rg_scorer_g_9_S_0016_0001_0001.pdb
16.447,rg_scorer_g_9_S_0017_0001_0001.pdb
16.504,rg_scorer_g_9_S_0018_0001_0001.pdb
16.444000000000003,rg_scorer_g_9_S_0019_0001_0001.pdb
16.518,rg_scorer_g_9_S_0020_0001_0001.pdb
16.452,rg_scorer_g_9_S_0021_0001_0001.pdb
16.553,rg_scorer_g_9_S_0022_0001_0001.pdb
16.428,rg_scorer_g_9_S_0023_0001_0001.pdb
16.454,rg_scorer_g_9_S_0024_0001_0001.pdb
16.445999999999998,rg_scorer_g_9_S_0025_0001_0001.pdb
16.416,rg_scorer_g_9_S_0026_0001_0001.pdb
16.480999999999998,rg_scorer_g_9_S_0027_0001_0001.pdb
16.497,rg_scorer_g_9_S_0028_0001_0001.pdb
16.391,rg_scorer_g_9_S_0029_0001_0001.pdb
16.482,rg_scorer_g_9_S_0030_0001_0001.pdb
16.453,rg_scorer_g_9_S_0031_0001_0001.pdb
16.504,rg_scorer_g_9_S_0032_0001_0001.pdb
16.340999999999998,rg_scorer_g_9_S_0033_0001_0001.pdb
16.369,rg_scorer_g_9_S_0034_0001_0001.pdb
16.4,rg_scorer_g_9_S_0035_0001_0001.pdb
16.434,rg_scorer_g_9_S_0036_0001_0001.pdb
16.521,rg_scorer_g_9_S_0037_0001_0001.pdb
16.485,rg_scorer_g_9_S_0038_0001_0001.pdb
16.421,rg_scorer_g_9_S_0039_0001_0001.pdb
16.233,rg_scorer_g_9_S_0040_0001_0001.pdb
16.494,rg_scorer_g_9_S_0041_0001_0001.pdb
16.328,rg_scorer_g_9_S_0042_0001_0001.pdb
16.415,rg_scorer_g_9_S_0043_0001_0001.pdb
16.511,rg_scorer_g_9_S_0044_0001_0001.pdb
16.355999999999998,rg_scorer_g_9_S_0045_0001_0001.pdb
16.545,rg_scorer_g_9_S_0046_0001_0001.pdb
16.477999999999998,rg_scorer_g_9_S_0047_0001_0001.pdb
16.48,rg_scorer_g_9_S_0048_0001_0001.pdb
16.395,rg_scorer_g_9_S_0049_0001_0001.pdb
16.407,rg_scorer_g_9_S_0050_0001_0001.pdb
16.401,rg_scorer_g_9_S_0051_0001_0001.pdb
16.554000000000002,rg_scorer_g_9_S_0052_0001_0001.pdb
16.373,rg_scorer_g_9_S_0053_0001_0001.pdb
16.362000000000002,rg_scorer_g_9_S_0054_0001_0001.pdb
16.474,rg_scorer_g_9_S_0055_0001_0001.pdb
16.449,rg_scorer_g_9_S_0056_0001_0001.pdb
16.423,rg_scorer_g_9_S_0057_0001_0001.pdb
16.250999999999998,rg_scorer_g_9_S_0058_0001_0001.pdb
16.372,rg_scorer_g_9_S_0059_0001_0001.pdb
16.476,rg_scorer_g_9_S_0060_0001_0001.pdb
16.361,rg_scorer_g_9_S_0061_0001_0001.pdb
16.477,rg_scorer_g_9_S_0062_0001_0001.pdb
16.429000000000002,rg_scorer_g_9_S_0063_0001_0001.pdb
16.512999999999998,rg_scorer_g_9_S_0064_0001_0001.pdb
16.422,rg_scorer_g_9_S_0065_0001_0001.pdb
16.448,rg_scorer_g_9_S_0066_0001_0001.pdb
16.391,rg_scorer_g_9_S_0067_0001_0001.pdb
16.393,rg_scorer_g_9_S_0068_0001_0001.pdb
16.545,rg_scorer_g_9_S_0069_0001_0001.pdb
16.493,rg_scorer_g_9_S_0070_0001_0001.pdb
16.335,rg_scorer_g_9_S_0071_0001_0001.pdb
16.396,rg_scorer_g_9_S_0072_0001_0001.pdb
16.371,rg_scorer_g_9_S_0073_0001_0001.pdb
16.475,rg_scorer_g_9_S_0074_0001_0001.pdb
16.438,rg_scorer_g_9_S_0075_0001_0001.pdb
16.52,rg_scorer_g_9_S_0076_0001_0001.pdb
16.412,rg_scorer_g_9_S_0077_0001_0001.pdb
16.392,rg_scorer_g_9_S_0078_0001_0001.pdb
16.546,rg_scorer_g_9_S_0079_0001_0001.pdb
16.456,rg_scorer_g_9_S_0080_0001_0001.pdb
16.348,rg_scorer_g_9_S_0081_0001_0001.pdb
16.467,rg_scorer_g_9_S_0082_0001_0001.pdb
16.455,rg_scorer_g_9_S_0083_0001_0001.pdb
16.463,rg_scorer_g_9_S_0084_0001_0001.pdb
16.42,rg_scorer_g_9_S_0085_0001_0001.pdb
16.477999999999998,rg_scorer_g_9_S_0086_0001_0001.pdb
16.383,rg_scorer_g_9_S_0087_0001_0001.pdb
16.386,rg_scorer_g_9_S_0088_0001_0001.pdb
16.406,rg_scorer_g_9_S_0089_0001_0001.pdb
16.463,rg_scorer_g_9_S_0090_0001_0001.pdb
16.482,rg_scorer_g_9_S_0091_0001_0001.pdb
16.398,rg_scorer_g_9_S_0092_0001_0001.pdb
16.406,rg_scorer_g_9_S_0093_0001_0001.pdb
16.361,rg_scorer_g_9_S_0094_0001_0001.pdb
16.432000000000002,rg_scorer_g_9_S_0095_0001_0001.pdb
16.351,rg_scorer_g_9_S_0096_0001_0001.pdb
16.62,rg_scorer_g_9_S_0097_0001_0001.pdb
16.372,rg_scorer_g_9_S_0098_0001_0001.pdb
16.581,rg_scorer_g_9_S_0099_0001_0001.pdb
16.338,rg_scorer_g_9_S_0100_0001_0001.pdb
16.396,rg_scorer_g_10_S_0001_0001_0001.pdb
16.45,rg_scorer_g_10_S_0002_0001_0001.pdb
16.402,rg_scorer_g_10_S_0003_0001_0001.pdb
16.391,rg_scorer_g_10_S_0004_0001_0001.pdb
16.54,rg_scorer_g_10_S_0005_0001_0001.pdb
16.467,rg_scorer_g_10_S_0006_0001_0001.pdb
16.483,rg_scorer_g_10_S_0007_0001_0001.pdb
16.517,rg_scorer_g_10_S_0008_0001_0001.pdb
16.418,rg_scorer_g_10_S_0009_0001_0001.pdb
16.491,rg_scorer_g_10_S_0010_0001_0001.pdb
16.473,rg_scorer_g_10_S_0011_0001_0001.pdb
16.483,rg_scorer_g_10_S_0012_0001_0001.pdb
16.417,rg_scorer_g_10_S_0013_0001_0001.pdb
